Type,Merk,kapasitas_mesin_cc,Bulan,PPnBM,jumlah_penjualan
Terios,Daihatsu,1500,2020-06-01,0,73
Terios,Daihatsu,1500,2020-07-01,0,345
Terios,Daihatsu,1500,2020-08-01,0,1190
Terios,Daihatsu,1500,2020-09-01,0,1514
Terios,Daihatsu,1500,2020-10-01,0,1158
Terios,Daihatsu,1500,2020-11-01,0,1138
Terios,Daihatsu,1500,2020-12-01,0,957
Terios,Daihatsu,1500,2021-01-01,0,1306
Terios,Daihatsu,1500,2021-02-01,0,649
Terios,Daihatsu,1500,2021-03-01,100,1947
Terios,Daihatsu,1500,2021-04-01,100,2744
Terios,Daihatsu,1500,2021-05-01,100,1074
Terios,Daihatsu,1500,2021-06-01,100,1556
Terios,Daihatsu,1500,2021-07-01,100,1076
Terios,Daihatsu,1500,2021-08-01,100,1276
Terios,Daihatsu,1500,2021-09-01,100,1618
Terios,Daihatsu,1500,2021-10-01,100,1830
Terios,Daihatsu,1500,2021-11-01,100,2256
Terios,Daihatsu,1500,2021-12-01,100,1560
Terios,Daihatsu,1500,2022-01-01,100,2386
Terios,Daihatsu,1500,2022-02-01,100,2160
Brio RS,Honda,1200,2020-01-01,0,1612
Brio RS,Honda,1200,2020-02-01,0,1459
Brio RS,Honda,1200,2020-03-01,0,1282
Brio RS,Honda,1200,2020-04-01,0,277
Brio RS,Honda,1200,2020-05-01,0,42
Brio RS,Honda,1200,2020-06-01,0,333
Brio RS,Honda,1200,2020-07-01,0,88
Brio RS,Honda,1200,2020-08-01,0,902
Brio RS,Honda,1200,2020-09-01,0,1433
Brio RS,Honda,1200,2020-10-01,0,1081
Brio RS,Honda,1200,2020-11-01,0,1103
Brio RS,Honda,1200,2020-12-01,0,1288
Brio RS,Honda,1200,2021-01-01,0,1390
Brio RS,Honda,1200,2021-02-01,0,576
Brio RS,Honda,1200,2021-03-01,100,2134
Brio RS,Honda,1200,2021-04-01,100,1234
Brio RS,Honda,1200,2021-05-01,100,1560
Brio RS,Honda,1200,2021-06-01,100,1920
Brio RS,Honda,1200,2021-07-01,100,1924
Brio RS,Honda,1200,2021-08-01,100,888
Brio RS,Honda,1200,2021-09-01,100,151
Brio RS,Honda,1200,2021-10-01,100,896
Brio RS,Honda,1200,2021-11-01,100,615
Brio RS,Honda,1200,2021-12-01,100,1731
Brio RS,Honda,1200,2022-01-01,100,1000
Brio RS,Honda,1200,2022-02-01,100,1462
Mobilio,Honda,1500,2020-01-01,0,1580
Mobilio,Honda,1500,2020-02-01,0,1168
Mobilio,Honda,1500,2020-03-01,0,1549
Mobilio,Honda,1500,2020-04-01,0,78
Mobilio,Honda,1500,2020-05-01,0,0
Mobilio,Honda,1500,2020-06-01,0,2
Mobilio,Honda,1500,2020-07-01,0,26
Mobilio,Honda,1500,2020-08-01,0,27
Mobilio,Honda,1500,2020-09-01,0,189
Mobilio,Honda,1500,2020-10-01,0,318
Mobilio,Honda,1500,2020-11-01,0,358
Mobilio,Honda,1500,2020-12-01,0,364
Mobilio,Honda,1500,2021-01-01,0,823
Mobilio,Honda,1500,2021-02-01,0,334
Mobilio,Honda,1500,2021-03-01,100,1148
Mobilio,Honda,1500,2021-04-01,100,357
Mobilio,Honda,1500,2021-05-01,100,204
Mobilio,Honda,1500,2021-06-01,100,459
Mobilio,Honda,1500,2021-07-01,100,711
Mobilio,Honda,1500,2021-08-01,100,387
Mobilio,Honda,1500,2021-09-01,100,1
Mobilio,Honda,1500,2021-10-01,100,144
Mobilio,Honda,1500,2021-11-01,100,731
Mobilio,Honda,1500,2021-12-01,100,367
Mobilio,Honda,1500,2022-01-01,100,0
Mobilio,Honda,1500,2022-02-01,100,0
BR-V,Honda,1500,2020-01-01,0,302
BR-V,Honda,1500,2020-02-01,0,283
BR-V,Honda,1500,2020-03-01,0,448
BR-V,Honda,1500,2020-04-01,0,62
BR-V,Honda,1500,2020-05-01,0,0
BR-V,Honda,1500,2020-06-01,0,3
BR-V,Honda,1500,2020-07-01,0,19
BR-V,Honda,1500,2020-08-01,0,34
BR-V,Honda,1500,2020-09-01,0,21
BR-V,Honda,1500,2020-10-01,0,46
BR-V,Honda,1500,2020-11-01,0,173
BR-V,Honda,1500,2020-12-01,0,77
BR-V,Honda,1500,2021-01-01,0,194
BR-V,Honda,1500,2021-02-01,0,115
BR-V,Honda,1500,2021-03-01,100,367
BR-V,Honda,1500,2021-04-01,100,125
BR-V,Honda,1500,2021-05-01,100,188
BR-V,Honda,1500,2021-06-01,100,353
BR-V,Honda,1500,2021-07-01,100,10
BR-V,Honda,1500,2021-08-01,100,238
BR-V,Honda,1500,2021-09-01,100,236
BR-V,Honda,1500,2021-10-01,100,292
BR-V,Honda,1500,2021-11-01,100,675
BR-V,Honda,1500,2021-12-01,100,156
BR-V,Honda,1500,2022-01-01,0,3257
BR-V,Honda,1500,2022-02-01,0,3514
HR-V 1.5,Honda,1500,2020-01-01,0,2347
HR-V 1.5,Honda,1500,2020-02-01,0,2228
HR-V 1.5,Honda,1500,2020-03-01,0,2498
HR-V 1.5,Honda,1500,2020-04-01,0,87
HR-V 1.5,Honda,1500,2020-05-01,0,11
HR-V 1.5,Honda,1500,2020-06-01,0,87
HR-V 1.5,Honda,1500,2020-07-01,0,257
HR-V 1.5,Honda,1500,2020-08-01,0,384
HR-V 1.5,Honda,1500,2020-09-01,0,333
HR-V 1.5,Honda,1500,2020-10-01,0,977
HR-V 1.5,Honda,1500,2020-11-01,0,1508
HR-V 1.5,Honda,1500,2020-12-01,0,1437
HR-V 1.5,Honda,1500,2021-01-01,0,1387
HR-V 1.5,Honda,1500,2021-02-01,0,902
HR-V 1.5,Honda,1500,2021-03-01,100,2472
HR-V 1.5,Honda,1500,2021-04-01,100,1318
HR-V 1.5,Honda,1500,2021-05-01,100,607
HR-V 1.5,Honda,1500,2021-06-01,100,1099
HR-V 1.5,Honda,1500,2021-07-01,100,1696
HR-V 1.5,Honda,1500,2021-08-01,100,1546
HR-V 1.5,Honda,1500,2021-09-01,100,1045
HR-V 1.5,Honda,1500,2021-10-01,100,1049
HR-V 1.5,Honda,1500,2021-11-01,100,1268
HR-V 1.5,Honda,1500,2021-12-01,100,1332
HR-V 1.5,Honda,1500,2022-01-01,0,1440
HR-V 1.5,Honda,1500,2022-02-01,0,0
HR-V Prestige,Honda,1800,2020-01-01,0,200
HR-V Prestige,Honda,1800,2020-02-01,0,105
HR-V Prestige,Honda,1800,2020-03-01,0,183
HR-V Prestige,Honda,1800,2020-04-01,0,7
HR-V Prestige,Honda,1800,2020-05-01,0,11
HR-V Prestige,Honda,1800,2020-06-01,0,42
HR-V Prestige,Honda,1800,2020-07-01,0,17
HR-V Prestige,Honda,1800,2020-08-01,0,1
HR-V Prestige,Honda,1800,2020-09-01,0,0
HR-V Prestige,Honda,1800,2020-10-01,0,58
HR-V Prestige,Honda,1800,2020-11-01,0,169
HR-V Prestige,Honda,1800,2020-12-01,0,73
HR-V Prestige,Honda,1800,2021-01-01,0,152
HR-V Prestige,Honda,1800,2021-02-01,0,132
HR-V Prestige,Honda,1800,2021-03-01,0,140
HR-V Prestige,Honda,1800,2021-04-01,100,175
